Poll,Date,Sample,Biden ,Sanders ,Warren ,Bloomberg ,Buttigieg ,Yang ,Klobuchar ,Steyer ,Gabbard ,Bennet ,Patrick ,Spread,Year
Economist/YouGov,11/3 - 11/5,1201 RV,26,14,25,--,8,1,2,1,3,0,--,Biden +1,2019
Monmouth,10/30 - 11/3,RV,23,20,23,--,9,3,2,1,0,0,--,Tie,2019
The Hill/HarrisX,11/1 - 11/2,429 RV,26,14,15,--,6,1,3,1,1,1,--,Biden +11,2019
Politico/Morning Consult,10/28 - 11/3,16071 RV,32,20,20,--,7,3,2,1,2,1,--,Biden +12,2019
Harvard-Harris,10/29 - 10/31,RV,33,18,15,--,4,2,3,1,0,--,--,Biden +15,2019
NBC News/Wall St. Jrnl,10/27 - 10/30,414 RV,27,19,23,--,6,3,5,0,2,1,--,Biden +4,2019
ABC News/Wash Post,10/27 - 10/30,452 RV,28,17,23,--,9,2,2,1,2,1,--,Biden +5,2019
FOX News,10/27 - 10/30,471 RV,31,19,21,--,7,3,2,1,2,0,--,Biden +10,2019
Economist/YouGov,10/27 - 10/29,597 RV,27,14,23,--,7,3,2,1,2,1,--,Biden +4,2019
LA Times/USC,10/21 - 11/3,2599 LV,28,13,16,--,6,2,2,1,1,0,--,Biden +12,2019
IBD/TIPP,10/24 - 10/31,361 RV,29,13,23,--,7,3,3,1,0,0,--,Biden +6,2019
USA Today/Suffolk,10/23 - 10/26,1000 RV,26,13,17,--,10,3,2,1,4,0,--,Biden +9,2019
Politico/Morning Consult,10/21 - 10/27,15431 RV,32,20,20,--,7,3,2,1,2,1,--,Biden +12,2019
The Hill/HarrisX,10/21 - 10/22,1001 RV,27,14,19,--,6,2,1,1,0,1,--,Biden +8,2019
Economist/YouGov,10/20 - 10/22,1204 RV,24,16,23,--,8,3,2,1,2,1,--,Biden +1,2019
Emerson,10/18 - 10/21,430 RV,27,25,21,--,6,4,1,1,3,0,--,Biden +2,2019
Quinnipiac,10/17 - 10/21,713 RV,21,15,28,--,10,1,3,1,1,0,--,Warren +7,2019
CNN,10/17 - 10/20,424 RV,34,16,19,--,6,2,3,1,1,1,--,Biden +15,2019
Politico/Morning Consult,10/16 - 10/20,11521 RV,30,18,21,--,6,3,2,1,1,1,--,Biden +9,2019
Politico/Morning Consult,10/16 - 10/16,2202 RV,31,18,21,--,6,3,2,2,1,1,--,Biden +10,2019
SurveyUSA,10/15 - 10/16,1071 LV,32,17,22,--,5,2,2,1,1,--,--,Biden +10,2019
Economist/YouGov,10/13 - 10/15,1136 RV,25,13,29,--,7,2,2,1,3,1,--,Warren +4,2019
Quinnipiac,10/11 - 10/13,RV,27,11,30,--,8,2,2,2,0,1,--,Warren +3,2019
Politico/Morning Consult,10/7 - 10/12,15683 RV,32,19,21,--,5,3,1,1,1,1,--,Biden +11,2019
Economist/YouGov,10/6 - 10/8,1241RV 2.9,25,14,29,--,5,3,1,1,1,0,--,Warren +4,2019
FOX News,10/6 - 10/8,,32,17,22,--,4,2,2,1,1,1,--,Biden +10,2019
The Hill/HarrisX,10/6 - 10/7,446 RV,31,17,15,--,4,2,2,2,1,1,--,Biden +14,2019
Quinnipiac,10/4 - 10/7,646 RV,26,16,29,--,4,3,2,0,0,1,--,Warren +3,2019
Politico/Morning Consult,9/30 - 10/6,16529 RV,33,19,21,--,5,3,1,1,1,1,--,Biden +12,2019
IBD/TIPP,9/26 - 10/3,341 RV,26,10,27,--,7,3,1,0,1,0,--,Warren +1,2019
Economist/YouGov,9/28 - 10/1,1087 RV,22,13,28,--,7,3,1,1,2,2,--,Warren +6,2019
Monmouth,9/23 - 9/29,434 RV,25,15,28,--,5,2,1,1,0,0,--,Warren +3,2019
Politico/Morning Consult,9/23 - 9/29,16274 RV,32,19,21,--,5,3,1,1,1,1,--,Biden +11,2019
Economist/YouGov,9/22 - 9/24,1198 RV,26,16,27,--,6,2,1,0,1,1,--,Warren +1,2019
Harvard-Harris,9/22 - 9/24,2009 RV,28,16,17,--,3,3,1,2,1,--,--,Biden +11,2019
Emerson,9/21 - 9/23,1019 RV,25,22,23,--,6,8,0,0,1,0,--,Biden +2,2019
Quinnipiac,9/19 - 9/23,561 RV,25,16,27,--,7,2,2,0,1,1,--,Warren +2,2019
The Hill/HarrisX,9/20 - 9/21,440 RV,31,16,14,--,5,2,2,1,1,1,--,Biden +15,2019
Politico/Morning Consult,9/16 - 9/22,17377 RV,32,19,20,--,5,3,2,1,1,1,--,Biden +12,2019
FOX News,9/15 - 9/17,RV,29,18,16,--,5,2,2,1,0,1,--,Biden +11,2019
Economist/YouGov,9/14 - 9/17,567 RV,26,14,21,--,9,3,1,0,2,1,--,Biden +5,2019
NBC News/Wall St. Jrnl,9/13 - 9/16,506 RV,31,14,25,--,7,4,2,1,1,1,--,Biden +6,2019
SurveyUSA,9/13 - 9/16,1017 LV,33,17,19,--,5,3,1,--,--,--,--,Biden +14,2019
Politico/Morning Consult,9/13 - 9/15,7487 RV,32,20,18,--,5,3,2,1,1,0,--,Biden +12,2019
Reuters/Ipsos,9/9 - 9/10,RV,22,16,11,--,4,3,1,1,1,0,--,Biden +6,2019
Economist/YouGov,9/8 - 9/10,1188 RV,26,16,26,--,6,2,1,0,1,1,--,Tie,2019
The Hill/HarrisX,9/7 - 9/8,454 RV,27,15,12,--,4,5,1,1,1,1,--,Biden +12,2019
CNN,9/5 - 9/9,908 RV,24,17,18,--,6,2,1,1,2,1,--,Biden +6,2019
Politico/Morning Consult,9/2 - 9/8,17824 RV,33,21,16,--,5,3,1,1,1,1,--,Biden +12,2019
ABC News/Wash Post,9/2 - 9/5,437 RV,29,19,18,--,4,3,2,1,2,0,--,Biden +10,2019
Economist/YouGov,9/1 - 9/3,,26,14,22,--,5,3,0,0,3,1,--,Biden +4,2019
Politico/Morning Consult,8/26 - 9/1,16736 RV,32,20,16,--,5,3,1,1,1,1,--,Biden +12,2019
Harvard-Harris,8/26 - 8/28,951 RV,32,16,13,--,4,2,1,1,1,--,--,Biden +16,2019
Economist/YouGov,8/24 - 8/27,511 RV,25,14,21,--,5,2,1,1,2,1,--,Biden +4,2019
IBD/TIPP,8/22 - 8/30,360 RV,28,12,24,--,5,1,1,0,0,0,--,Biden +4,2019
LA Times/USC,8/12 - 9/8,2462 LV,28,13,11,--,4,2,1,0,1,0,--,Biden +15,2019
Emerson,8/24 - 8/26,627 RV,31,24,15,--,3,4,1,0,3,0,--,Biden +7,2019
Quinnipiac,8/21 - 8/26,1422 RV,32,15,19,--,5,3,1,0,1,1,--,Biden +13,2019
The Hill/HarrisX,8/23 - 8/24,1001 RV,30,17,14,--,4,2,1,1,1,1,--,Biden +13,2019
USA Today/Suffolk,8/20 - 8/25,424 RV,32,12,14,--,6,3,0,0,0,0,--,Biden +18,2019
Politico/Morning Consult,8/19 - 8/25,17303 RV,33,20,15,--,5,2,1,1,1,1,--,Biden +13,2019
Economist/YouGov,8/17 - 8/20,RV,22,19,18,--,8,1,0,0,2,0,--,Biden +3,2019
Monmouth,8/16 - 8/20,298 RV,19,20,20,--,4,3,1,0,1,0,--,Tie,2019
CNN,8/15 - 8/18,402 RV,29,15,14,--,5,1,1,1,2,0,--,Biden +14,2019
Politico/Morning Consult,8/12 - 8/18,17115 RV,31,20,15,--,5,3,1,1,1,0,--,Biden +11,2019
FOX News,8/11 - 8/13,,31,10,20,--,3,3,2,1,1,0,--,Biden +11,2019
Economist/YouGov,8/10 - 8/13,RV,23,16,20,--,6,2,1,1,2,1,--,Biden +3,2019
The Hill/HarrisX,8/9 - 8/10,451 RV,31,16,10,--,4,1,2,1,1,0,--,Biden +15,2019
Politico/Morning Consult,8/5 - 8/11,17117,33,20,14,--,5,2,1,1,1,1,--,Biden +13,2019
Economist/YouGov,8/3 - 8/6,1161 RV,25,13,18,--,7,2,1,1,3,1,--,Biden +7,2019
Quinnipiac,8/1 - 8/5,807 RV,32,14,21,--,5,1,1,0,1,0,--,Biden +11,2019
SurveyUSA,8/1 - 8/5,999 LV,33,20,19,--,8,0,1,0,0,0,--,Biden +13,2019
Reuters/Ipsos,8/1 - 8/5,RV,25,20,10,--,5,2,1,0,1,0,--,Biden +5,2019
Politico/Morning Consult,8/1 - 8/4,9845 RV,33,19,15,--,6,2,1,1,1,0,--,Biden +14,2019
Politico/Morning Consult,8/1 - 8/1,2419 RV,32,18,15,--,6,2,1,1,1,0,--,Biden +14,2019
Harvard-Harris,7/31 - 8/1,585 RV,34,17,8,0,4,1,1,1,0,--,--,Biden +17,2019
Economist/YouGov,7/27 - 7/30,RV,26,13,20,--,6,1,0,0,2,0,--,Biden +6,2019
IBD/TIPP,7/25 - 8/1,350 RV,30,12,17,--,6,0,1,--,1,0,--,Biden +13,2019
Emerson,7/27 - 7/29,520 RV,33,20,14,--,6,2,0,2,1,0,--,Biden +13,2019
The Hill/HarrisX,7/27 - 7/28,1000 RV,34,20,12,--,5,1,1,1,0,0,--,Biden +14,2019
Quinnipiac,7/25 - 7/28,579 RV,34,11,15,--,6,2,1,0,1,0,--,Biden +19,2019
Politico/Morning Consult,7/22 - 7/28,16959 RV,33,18,13,--,5,2,1,1,1,1,--,Biden +15,2019
FOX News,7/21 - 7/23,RV,33,15,12,--,5,3,3,1,0,0,--,Biden +18,2019
Economist/YouGov,7/21 - 7/23,,25,13,18,--,7,2,1,1,2,0,--,Biden +7,2019
LA Times/USC,7/12 - 7/25,1827 RV,28,11,10,--,5,1,1,0,0,0,--,Biden +17,2019
Politico/Morning Consult,7/15 - 7/21,17285 RV,33,18,14,--,5,2,1,1,1,0,--,Biden +15,2019
Economist/YouGov,7/14 - 7/16,,25,12,16,--,6,0,1,1,1,1,--,Biden +9,2019
The Hill/HarrisX,7/12 - 7/13,446 RV,29,16,9,--,1,0,1,0,1,0,--,Biden +13,2019
Politico/Morning Consult,7/8 - 7/14,16504 RV,32,19,14,--,5,2,1,--,1,1,--,Biden +13,2019
NBC News/Wall St. Jrnl,7/7 - 7/9,400 RV,26,13,19,--,7,2,1,--,0,1,--,Biden +7,2019
Economist/YouGov,7/7 - 7/9,539 RV,22,12,18,--,6,1,1,--,3,0,--,Biden +4,2019
Emerson,7/6 - 7/8,481 RV,30,15,15,--,5,3,1,--,2,1,--,Biden +15,2019
Politico/Morning Consult,7/1 - 7/7,16599 RV,31,19,13,--,6,1,1,--,1,0,--,Biden +12,2019
Economist/YouGov,6/30 - 7/2,591 RV,23,9,19,--,8,1,0,--,1,1,--,Biden +4,2019
Reuters/Ipsos,6/28 - 7/2,RV,24,17,11,--,4,3,1,--,0,0,--,Biden +7,2019
ABC News/Wash Post,6/28 - 7/1,460 RV,30,19,12,--,4,0,2,--,1,1,--,Biden +11,2019
Quinnipiac,6/28 - 7/1,554 RV,22,13,14,--,4,1,1,--,1,0,--,Biden +2,2019
The Hill/HarrisX,6/29 - 6/30,449 RV,33,15,9,--,6,1,0,--,1,1,--,Biden +18,2019
CNN,6/28 - 6/30,656 RV,22,14,15,--,4,1,2,--,1,0,--,Biden +5,2019
Harvard-Harris,6/26 - 6/29,845 RV,34,15,11,--,3,1,1,--,2,--,--,Biden +19,2019
Politico/Morning Consult,6/27 - 6/28,2407 RV,33,19,12,--,6,2,1,--,1,0,--,Biden +14,2019
Economist/YouGov,6/22 - 6/25,474 RV,25,15,19,--,6,1,0,--,3,1,--,Biden +6,2019
Emerson,6/21 - 6/24,457 RV,34,27,14,--,6,1,1,--,0,0,--,Biden +7,2019
Politico/Morning Consult,6/17 - 6/23,16188 RV,38,19,13,--,7,2,1,--,1,1,--,Biden +19,2019
Economist/YouGov,6/16 - 6/18,576 RV,26,12,16,--,9,1,1,--,1,1,--,Biden +10,2019
Monmouth,6/12 - 6/17,306 RV,32,14,15,--,5,2,1,--,1,0,--,Biden +17,2019
The Hill/HarrisX,6/14 - 6/15,424 RV,35,13,7,--,4,0,1,--,0,1,--,Biden +22,2019
Politico/Morning Consult,6/10 - 6/16,17226 RV,38,19,11,--,7,1,1,--,1,1,--,Biden +19,2019
USA Today/Suffolk,6/11 - 6/15,385 RV,30,15,10,--,9,1,0,--,0,0,--,Biden +15,2019
FOX News,6/9 - 6/12,449 LV,32,13,9,--,8,2,2,--,1,0,--,Biden +19,2019
Economist/YouGov,6/9 - 6/11,454 RV,27,12,16,--,8,1,0,--,0,1,--,Biden +11,2019
Quinnipiac,6/6 - 6/10,503 RV,30,19,15,--,8,1,1,--,0,0,--,Biden +11,2019
Politico/Morning Consult,6/3 - 6/9,17012 RV,37,19,11,--,7,1,2,--,1,1,--,Biden +18,2019
Economist/YouGov,6/2 - 6/4,500 RV,27,15,12,--,10,1,1,--,1,0,--,Biden +12,2019
The Hill/HarrisX,6/1 - 6/2,431 RV,35,16,5,--,8,0,1,--,0,1,--,Biden +19,2019
Politico/Morning Consult,5/27 - 6/2,16587 RV,38,19,10,--,7,1,1,--,1,1,--,Biden +19,2019
CNN,5/28 - 5/31,412 RV,32,18,7,--,5,1,2,--,1,1,--,Biden +14,2019
Harvard-Harris,5/29 - 5/30,1295 RV,36,17,5,1,5,1,0,--,0,--,--,Biden +19,2019
Politico/Morning Consult,5/20 - 5/26,16368 RV,38,20,9,--,7,1,1,--,1,1,--,Biden +18,2019
Monmouth,5/16 - 5/20,334 RV,33,15,10,--,6,1,3,--,1,0,--,Biden +18,2019
The Hill/HarrisX,5/17 - 5/18,488 RV,33,14,8,--,6,1,1,--,0,0,--,Biden +19,2019
Quinnipiac,5/16 - 5/20,454 RV,35,16,13,--,5,1,2,--,1,0,--,Biden +19,2019
Politico/Morning Consult,5/13 - 5/20,14830 RV,39,19,9,--,6,1,1,--,1,1,--,Biden +20,2019
FOX News,5/11 - 5/14,469 RV,35,17,9,--,6,1,2,--,1,0,--,Biden +18,2019
Emerson,5/10 - 5/13,,33,25,10,--,8,1,1,--,1,1,--,Biden +8,2019
Politico/Morning Consult,5/6 - 5/12,,39,19,8,--,6,1,2,--,1,1,--,Biden +20,2019
The Hill/HarrisX,5/3 - 5/4,440 RV,46,14,7,--,8,1,0,--,1,1,--,Biden +32,2019
Politico/Morning Consult,4/29 - 5/5,15770 RV,40,19,8,--,6,1,2,--,1,--,--,Biden +21,2019
Harvard-Harris,4/30 - 5/1,259 RV,44,14,5,2,2,0,2,--,0,--,--,Biden +30,2019
Quinnipiac,4/26 - 4/29,419 RV,38,11,12,--,10,1,1,--,0,--,--,Biden +26,2019
CNN,4/25 - 4/28,,39,15,8,--,7,1,2,--,2,0,--,Biden +24,2019
Politico/Morning Consult,4/22 - 4/28,15475 RV,36,22,9,--,8,2,2,--,1,--,--,Biden +14,2019
Monmouth,4/11 - 4/15,330 RV,27,20,6,--,8,0,1,--,0,0,--,Biden +7,2019
Politico/Morning Consult,4/15 - 4/21,14335 RV,30,24,7,--,9,2,2,--,1,--,--,Biden +6,2019
Emerson,4/11 - 4/14,356 RV,24,29,7,--,9,3,1,--,1,--,--,Sanders +5,2019
Politico/Morning Consult,4/8 - 4/14,12550 RV,31,23,7,--,7,1,2,--,1,--,--,Biden +8,2019
Politico/Morning Consult,4/1 - 4/7,13644 RV,32,23,7,--,5,1,2,--,1,--,--,Biden +9,2019
The Hill/HarrisX,4/5 - 4/6,370 RV,36,19,6,--,4,1,2,--,0,--,--,Biden +17,2019
LA Times/USC,3/15 - 4/15,2196 RV,27,16,4,--,2,1,1,--,1,--,--,Biden +11,2019
Politico/Morning Consult,3/25 - 3/31,12940 LV,33,25,7,--,3,--,2,--,1,--,--,Biden +8,2019
Quinnipiac,3/21 - 3/25,,29,19,4,--,4,0,2,--,0,--,--,Biden +10,2019
Harvard-Harris,3/25 - 3/26,263 RV,35,17,6,--,2,1,2,--,2,--,--,Biden +18,2019
Harvard-Harris,3/25 - 3/26,1437 RV,26,18,5,0,2,2,1,--,0,--,--,Biden +8,2019
Politico/Morning Consult,3/18 - 3/24,13725 RV,35,25,7,--,2,--,2,--,1,--,--,Biden +10,2019
FOX News,3/17 - 3/20,403 LV,31,23,4,--,1,1,1,--,0,0,--,Biden +8,2019
Emerson,3/17 - 3/18,487 RV,26,26,8,--,3,1,1,--,1,--,--,Tie,2019
CNN,3/14 - 3/17,456 RV,28,20,6,--,1,--,3,--,0,--,--,Biden +8,2019
Politico/Morning Consult,3/11 - 3/17,13551 RV,35,27,7,--,1,--,2,--,1,--,--,Biden +8,2019
Politico/Morning Consult,3/4 - 3/10,15226 RV,31,27,7,--,1,--,3,--,1,--,--,Biden +4,2019
Monmouth,3/1 - 3/4,310 RV,28,25,8,2,0,1,3,--,0,0,--,Biden +3,2019
Politico/Morning Consult,2/25 - 3/3,12560 RV,31,27,7,2,1,--,3,--,1,--,--,Biden +4,2019
Harvard-Harris,2/19 - 2/20,,37,22,4,3,--,--,--,--,1,--,--,Biden +15,2019
Harvard-Harris,2/19 - 2/20,346 RV,30,19,4,2,--,--,--,--,0,--,--,Biden +11,2019
Politico/Morning Consult,2/18 - 2/24,15642 RV,29,27,7,2,1,--,3,--,1,--,--,Biden +2,2019
Politico/Morning Consult,2/11 - 2/17,15383 RV,30,21,8,2,0,--,4,--,1,--,--,Biden +9,2019
Emerson,2/14 - 2/16,431 RV,27,17,9,2,0,--,5,--,2,--,--,Biden +10,2019
Politico/Morning Consult,2/4 - 2/10,11627 RV,29,22,8,2,--,--,3,--,1,--,--,Biden +7,2019
Monmouth,1/25 - 1/27,313 RV,29,16,8,4,0,--,2,--,1,--,--,Biden +13,2019
Politico/Morning Consult,1/25 - 1/27,685 RV,33,15,6,2,--,--,1,--,0,--,--,Biden +18,2019
Politico/Morning Consult,1/18 - 1/22,694 RV,26,16,6,2,--,--,2,--,--,--,--,Biden +10,2019
Emerson*,1/20 - 1/21,355 LV,45,5,3,7,--,--,1,--,2,--,--,Biden +37,2019
Harvard-Harris,1/15 - 1/16,479 RV,23,21,4,5,--,--,--,--,2,--,--,Biden +2,2019
Harvard-Harris,1/15 - 1/16,488 RV,24,13,5,5,--,--,--,--,1,--,--,Biden +11,2019
Politico/Morning Consult,1/11 - 1/14,674 RV,32,15,9,1,--,--,1,--,--,--,--,Biden +17,2019
Politico/Morning Consult,1/4 - 1/6,674 RV,27,16,4,1,--,--,2,--,--,--,--,Biden +11,2019
Politico/Morning Consult,12/14 - 12/16,706 RV,25,15,3,2,--,--,1,--,--,--,--,Biden +10,2018
CNN,12/6 - 12/9,463 RV,30,14,3,3,--,--,--,--,--,--,--,Biden +16,2018
Emerson,12/6 - 12/9,320 LV,26,22,7,--,--,--,--,--,--,--,--,Biden +4,2018
Harvard-Harris,11/25 - 11/26,449 RV,28,21,5,4,--,--,--,--,--,--,--,Biden +7,2018
Harvard-Harris,11/25 - 11/26,473 RV,25,15,4,2,--,--,--,--,--,--,--,Biden +10,2018
Politico/Morning Consult,11/7 - 11/9,733 RV,26,19,5,2,--,--,1,--,--,--,--,Biden +7,2018
CNN,10/4 - 10/7,464 RV,33,13,8,4,--,--,1,--,--,--,--,Biden +20,2018
